question,evaluation,word_tokens,sentiment
"Fayum text only 3: What do you think ""browsers"" are?",Evaluation A,eat,NA
"Fayum text only 3: What do you think ""browsers"" are?",Evaluation A,leaves,NA
"Fayum text only 3: What do you think ""browsers"" are?",Evaluation A,grasses,NA
"Fayum text only 3: What do you think ""browsers"" are?",Evaluation A,animals,NA
"Fayum text only 3: What do you think ""browsers"" are?",Evaluation A,graze,NA
"Fayum text only 3: What do you think ""browsers"" are?",Evaluation A,food,NA
"Fayum text only 3: What do you think ""browsers"" are?",Evaluation A,rabbits,NA
"Fayum text only 3: What do you think ""browsers"" are?",Evaluation A,herbavores,NA
"Fayum text only 3: What do you think ""browsers"" are?",Evaluation A,foraging,NA
"Fayum text only 3: What do you think ""browsers"" are?",Evaluation A,animals,NA
"Fayum text only 3: What do you think ""browsers"" are?",Evaluation A,spend,NA
"Fayum text only 3: What do you think ""browsers"" are?",Evaluation A,lot,NA
"Fayum text only 3: What do you think ""browsers"" are?",Evaluation A,time,NA
"Fayum text only 3: What do you think ""browsers"" are?",Evaluation A,eating,NA
"Fayum text only 3: What do you think ""browsers"" are?",Evaluation A,clue,NA
"Fayum text only 3: What do you think ""browsers"" are?",Evaluation A,animal,NA
"Fayum text only 3: What do you think ""browsers"" are?",Evaluation A,forages,NA
"Fayum text only 3: What do you think ""browsers"" are?",Evaluation A,food,NA
"Fayum text only 3: What do you think ""browsers"" are?",Evaluation A,grass,NA
"Fayum text only 3: What do you think ""browsers"" are?",Evaluation A,greenery,NA
"Fayum text only 3: What do you think ""browsers"" are?",Evaluation A,eaters,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,hyrax,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,palaeomastodon,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,browsers,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,palaeomastodon,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,palaeomastodon,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,pictures,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,palaeomastodon,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,nice,positive
Fayum text only 7: Which words would you want clarified?,Evaluation A,fayum,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,half,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,afrotheres,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,words,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,common,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,wouldnt,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,looknthem,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,id,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,skip,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,missing,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,opportunity,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,understand,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,hyraxes,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,browsers,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,palaeomastodon,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,addition,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,helpful,positive
Fayum text only 7: Which words would you want clarified?,Evaluation A,words,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,afrotheres,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,include,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,easy,positive
Fayum text only 7: Which words would you want clarified?,Evaluation A,pronunciation,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,guide,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,main,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,visiting,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,previous,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,iteration,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,hall,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,kids,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,pronounce,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,half,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,animals,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,photos,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,animals,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,defined,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,table,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,cool,positive
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,fayum,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,hyraxes,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,obvious,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,people,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,educated,positive
Fayum text only 7: Which words would you want clarified?,Evaluation A,educated,positive
Fayum text only 7: Which words would you want clarified?,Evaluation A,study,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,child,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,knowwhat,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,afrotheres,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,omit,negative
Fayum text only 7: Which words would you want clarified?,Evaluation A,word,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,altogether,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritheriim,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,animals,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,extinct,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,periods,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,words,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,latin,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,species,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,heard,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,concept,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,fayum,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,region,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,totally,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,term,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,pronunciation,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,guide,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,definitions,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,visuals,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,reference,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,key,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,definitions,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,nearby,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,didn’t,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,palaeomastodon,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,giants,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,contemporary,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,elephants,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,gigantic,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,palaeomastodon,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,hyrax,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,fayum,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,golden,positive
Fayum text only 7: Which words would you want clarified?,Evaluation A,mole,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,aardvark,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,afrotheres,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,browsers,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,fayum,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,hyrax,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,include,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,pictures,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,fayum,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,animal,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,names,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,palaeomastodon,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,pictures,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,creatures,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moerithierium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,palaeomastodon,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,visual,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,aids,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,assist,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,definitions,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,hyraxes,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,browsers,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,palaeomastodon,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,hyraxes,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,palaeomastodon,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,fayum,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,hyrax,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,golden,positive
Fayum text only 7: Which words would you want clarified?,Evaluation A,mole,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,pictionary,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,students,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,understand,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,visit,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,browser,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,palaeomastodon,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,hyraxes,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,palaeomastodon,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,hyrax,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,difficult,negative
Fayum text only 7: Which words would you want clarified?,Evaluation A,reading,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,difficulties,negative
Fayum text only 7: Which words would you want clarified?,Evaluation A,due,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,complexity,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,unfamiliarity,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,words,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,difficult,negative
Fayum text only 7: Which words would you want clarified?,Evaluation A,describes,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,animals,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,word,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,animal,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,specifically,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,palaeomastodon,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,afrotheres,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,didnt,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,hyraxes,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,palaeomastadon,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,browsers,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,hyrax,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,paleomastodon,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,syntax,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,describing,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,size,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,comparisons,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,confusing,negative
Fayum text only 7: Which words would you want clarified?,Evaluation A,worded,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,browsers,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,afrotheres,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,palaeomastodon,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,sentence,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,confusing,negative
Fayum text only 7: Which words would you want clarified?,Evaluation A,hard,negative
Fayum text only 7: Which words would you want clarified?,Evaluation A,verbalize,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,word,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,fayum,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,adjective,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,describing,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,ancestor,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,animals,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,sentence,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,2nd,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,paragraph,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,varied,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,mammals,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,fayum,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,sentence,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,1,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,sounds,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,talking,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,modern,positive
Fayum text only 7: Which words would you want clarified?,Evaluation A,animals,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,live,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,fayum,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,interpretation,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,supported,positive
Fayum text only 7: Which words would you want clarified?,Evaluation A,examples,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,sentence,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,modern,positive
Fayum text only 7: Which words would you want clarified?,Evaluation A,animals,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,live,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,africa,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,confusing,negative
Fayum text only 7: Which words would you want clarified?,Evaluation A,simpler,positive
Fayum text only 7: Which words would you want clarified?,Evaluation A,define,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,afrotheres,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,afrotheres,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,mammals,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,share,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,common,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,ancestor,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,evolved,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,africa,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,list,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,today's,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,animals,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,afrotheres,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,fayum,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,browsers,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,hyrax,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,afrotheres,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,browsers,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,hyrax,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,browsers,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,paleomastodon,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,golden,positive
Fayum text only 7: Which words would you want clarified?,Evaluation A,moles,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,moeritherium,NA
Fayum text only 7: Which words would you want clarified?,Evaluation A,hyrax,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,whales,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,feel,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,text,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,hoofed,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,predators,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,alive,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,whales,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,lead,positive
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,science,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,background,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,understand,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,leap,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,figure,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,whales,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,hooved,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,nope,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,whales,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,hoofed,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,predators,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,sentence,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,phrased,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,unusually,negative
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,pronunciation,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,guides,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,words,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,synoplotherium,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,confusion,negative
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,reallyy,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,designed,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,sense,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,force,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,read,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,times,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,ideathat,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,whales,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,hoofed,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,explanation,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,hippos,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,hoofed,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,predators,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,answer,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,animals,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,hoofed,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,hoofed,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,2nd,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,paragraph,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,whales,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,predators,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,entire,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,paragraph,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,confusing,negative
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,hooved,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,animals,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,acting,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,predators,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,kill,negative
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,terrible,negative
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,biting,negative
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,jaws,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,outrun,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,prey,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,trample,negative
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,prey,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,whales,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,related,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,hippos,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,varied,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,font,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,size,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,speaking,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,whales,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,hoofed,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,predators,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,cool,positive
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,whales,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,whales,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,hooves,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,unclear,negative
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,whale,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,hoofed,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,whales,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,animal,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,drawing,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,artist,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,recognition,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,secondary,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,titling,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,time,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,final,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,sentence,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,hoofed,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,predators,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,survives,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,whales,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,closest,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,living,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,relatives,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,hippos,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,confusing,negative
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,read,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,ocean,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,whales,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,explain,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,ocean,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,whales,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,whales,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,hooves,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,surprising,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,primarily,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,confused,negative
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,whales,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,hoofed,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,predators,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,additionally,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,layout,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,text,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,confusing,negative
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,whales,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,considered,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,hoofed,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,predator,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,eat,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,plankton,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,clause,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,whales,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,closest,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,living,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,relatives,NA
Killers w/ hooves 3: Was there anything confusing about this text?,Evaluation A,hippos,NA
